trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-77.15079489061534,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-82.72961054900499,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-157.26278411139205,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-199.2246625994646,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-91.38596063969322,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,18,0.5053752825219109,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-43.57670221394706,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-181.12302838455057,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-48.960097042373434,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-78.21488067165217,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-63.52101538965761,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-86.1717518841306,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-66.49779792070262,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,6,-50.14640008522638,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-99.01207117322187,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-38.15642568666344,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,6,-46.17150757215983,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,34.04315409883345,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,8.026908111479404,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,32.722480069424165,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-18.147085190522205,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-21.48251886641972,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,6,-18.44748485209748,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,-27.65662255004143,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,7,-3.2373926146879084,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-15.830302577316537,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,22.402132844500777,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-56.99617619299169,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-9.73855255522503,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-30.01986407480711,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
