trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-156.3421209174947,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,0,-304.65076296579883,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 5}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",30,0,-213.42476431081568,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",30,0,-140.0949332303141,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-63.56903854046368,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-112.35165908351226,"{0: 11, 1: 9, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",30,14,-52.636726254957146,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-109.24111361629303,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",25,0,-144.23693522156313,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",30,0,-79.17468980097492,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",30,0,-126.56295172475605,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",25,0,-188.3185696083639,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-69.72364133073856,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-124.24214012376436,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-132.23429368002326,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-91.61358143946508,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-73.2604968695335,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-63.26168312499929,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,11,-67.52495007442201,"{0: 6, 1: 2, 2: 5, 3: 1, 4: 0}",1
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,0,-168.3111390312037,"{0: 16, 1: 3, 2: 1, 3: 2, 4: 3}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",25,0,-130.37402977919479,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",20,0,-76.23731518449462,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-105.63640961688809,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-108.27095137330795,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",25,4,-43.71538627141517,"{0: 15, 1: 3, 2: 1, 3: 2, 4: 0}",1
