trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.190955705723,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.577688692469245,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.41665425585336,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.9286159953871,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.164134674874255,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.71480763673455,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.96591412528608,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-361.6095505882241,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 7}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.34261909803513,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.2033559632517,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.6430469508669,"{0: 17, 1: 7, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-244.61508009807838,"{0: 20, 1: 2, 2: 7, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.09866579343888,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.25597878975432,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.13441110936569,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.11635792558931,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.8196558524046,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.1218319065002,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.59683843194061,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.12435593148307,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-126.38506259636168,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,9,-184.92698775863636,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-159.35186856098554,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-112.2818810524785,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.51844649571878,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.04870517813643,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-172.05065312337044,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.6119218730704,"{0: 7, 1: 4, 2: 6, 3: 3, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,20,-83.86908024314212,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-208.44419058307253,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
